dia;hora_inicio;hora_fin;grupo;codigo
Viernes;07:00:00;11:30:00;1;19610056
Miércoles;09:00:00;10:30:00;2;19210011
Miércoles;07:00:00;09:00:00;2;19210027
Lunes;13:30:00;15:30:00;1;19210100
Miércoles;13:30:00;15:30:00;2;19210025
Martes;07:00:00;17:00:00;11;19210020
Miércoles;18:00:00;20:00:00;1;19210122
Martes;13:30:00;15:30:00;4;19210038
Martes;07:00:00;17:00:00;23;19210018
Martes;07:00:00;17:00:00;16;19210020
Jueves;07:00:00;17:00:00;11;19210020
Martes;07:00:00;17:00:00;14;19210018
Viernes;07:00:00;12:00:00;20;19210018
Miércoles;14:00:00;16:00:00;2;19210138
Martes;07:00:00;17:00:00;7;19210018
Martes;07:00:00;17:00:00;2;19210018
Lunes;07:00:00;17:00:00;14;19210020
Martes;07:00:00;11:30:00;1;19210099
Martes;13:30:00;15:30:00;1;19210019
Jueves;07:00:00;12:00:00;16;19210020
Miércoles;15:00:00;17:00:00;2;19210008
Viernes;07:00:00;12:00:00;10;19210020
Jueves;07:00:00;12:00:00;18;19210018
Jueves;13:00:00;19:00:00;1;19210142
Jueves;07:00:00;17:00:00;18;19210020
Jueves;07:00:00;12:00:00;10;19210020
Lunes;07:00:00;17:00:00;4;19210018
Jueves;13:30:00;15:30:00;2;19210004
Martes;07:00:00;12:00:00;6;19210018
Lunes;13:30:00;15:30:00;1;19210094
Jueves;13:30:00;15:30:00;1;19210045
Sábado;07:00:00;10:00:00;3;19210011
Viernes;12:30:00;18:30:00;4;19210018
Martes;15:00:00;17:00:00;1;19210108
Jueves;07:00:00;17:00:00;22;19210018
Jueves;12:30:00;18:00:00;9;19210018
Jueves;18:00:00;20:00:00;2;19210143
